Media,Event,Time Interval,Sample URLs,Relatedness (crowd),Relatedness (authors),Primary Type (or trigger),Primary Sub-type (or action),Secondary Type (or trigger),Secondary Sub-type (or action),Negativity,Magnitude,Predictability,Elite persons,Conflict,Unexpectedness
News,Maine baby lobster decline,22 April 2014,http://news.yahoo.com/maine-baby-lobster-decline-could-end-high-catches-201637363--finance.html   http://www.usnews.com/news/business/articles/2014/04/22/maine-baby-lobster-decline-could-end-high-catches,not related to climate change,borderline (weakly related to climate change),ngos / groups of people,publication/studies/research  [ngos / groups of people],not applicable,not applicable,this is bad news,the magnitude of this event is low,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
Twitter,EPA raids target gold prospectors in Alaska,05 September 2013,http://www.infowars.com/epa-swat-team-raids-gold-miners-in-alaska/   http://www.adn.com/article/20130903/gold-miners-near-chicken-cry-foul-over-heavy-handed-epa-raids,not related to climate change,no (not related to climate change),govt (exec & legislative),legal actions  [govt (exec & legislative)],individuals,legal actions involving individuals  [individuals],this is neither good nor bad news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this depicts a conflict between two opposing persons/groups,this is an extraordinary event
Twitter,International Women's Day 2014,08 March 2014,http://imaginepeace.com/archives/20247,not related to climate change,no (not related to climate change),not applicable,not applicable,not applicable,not applicable,this is neither good nor bad news,the magnitude of this event is low,a member of the public could have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an ordinary event
Twitter,"Viral picture: Ice Pier, Black Sea, Ukraine",11 September 2013,https://twitter.com/Powerful_Pics/status/377250145198682112,not related to climate change,no (not related to climate change),not applicable,not applicable,not applicable,not applicable,this is neither good nor bad news,the magnitude of this event is low,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an ordinary event
News,"April 27-30, 2014 tornado outbreak",30 April 2014,"http://www.denverpost.com/nationworld/ci_25665298/35-dead-after-days-tornadoes-south-midwest   http://www.csmonitor.com/USA/Latest-News-Wires/2014/0430/Flooding-takes-toll-in-Florida-and-Alabama   http://en.wikipedia.org/wiki/April_27阓阓瓯30,_2014_tornado_outbreak",not related to climate change,borderline (weakly related to climate change),disaster,natural hazards  [disaster],not applicable,not applicable,this is bad news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
News,Changes to Northwest winds linked to Pacific warming,22 September 2014,http://www.csmonitor.com/Science/2014/0922/Could-Pacific-winds-be-to-blame-for-Northwest-warming-trend   http://news.yahoo.com/study-links-changing-winds-warming-pacific-190130815.html,weakly related to climate change,yes (related to climate change),ngos / groups of people,publication/studies/research  [ngos / groups of people],not applicable,not applicable,this is bad news,the magnitude of this event is high,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
News,Study urges 15-year plan for low-carbon growth,16 September 2014,http://news.yahoo.com/study-urges-15-plan-low-carbon-growth-045311920.html   http://www.scientificamerican.com/article/how-to-clean-up-the-global-economy-to-combat-climate-change/,related to climate change,yes (related to climate change),govt (exec & legislative),publication/studies/research  [govt (exec & legislative)],ngos / groups of people,publication/studies/research  [ngos / groups of people],this is neither good nor bad news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
News,IEA: Global temperature to double the 2 degrees Celsius target,10 June 2013,http://www.globalpost.com/dispatch/news/afp/130610/iea-warns-global-temperature-rise-set-double-target   http://www.huffingtonpost.co.uk/2013/06/10/climate-change-temperature-rise_n_3415351.html,related to climate change,yes (related to climate change),govt (exec & legislative),publication/studies/research  [govt (exec & legislative)],not applicable,not applicable,this is bad news,the magnitude of this event is high,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
Twitter,WHO: Pollution kills 7 million people every year,25 March 2014,http://www.un.org/apps/news/story.asp?NewsID=47426&Cr=pollution&Cr1=#.VKqAYlprndt   http://www.bbc.com/news/health-26730178?ocid=socialflow_twitter,not related to climate change,borderline (weakly related to climate change),ngos / groups of people,publication/studies/research  [ngos / groups of people],not applicable,not applicable,this is bad news,the magnitude of this event is high,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
News,Malaysia Airlines Flight 370 satellite search,22 March-17 April 2014,http://en.wikipedia.org/wiki/Malaysia_Airlines_Flight_370#Search   https://sg.news.yahoo.com/china-satellite-finds-object-near-121412163.html   http://www.independent.ie/world-news/possible-jet-debris-seen-in-search-30125958.html,not related to climate change,no (not related to climate change),disaster,human-induced hazards  [disaster],govt (exec & legislative),generic (campaigns/statements/other)  [govt (exec & legislative)],this is neither good nor bad news,the magnitude of this event is high,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
News,Typhoon Rammasun,15-16 July 2014,http://en.wikipedia.org/wiki/Typhoon_Rammasun_(2014)   http://www.businessinsider.in/The-City-Of-Manila-Shuts-Down-As-Typhoon-Rages/articleshow/38480352.cms   http://uk.reuters.com/article/2014/07/17/us-philippines-typhoon-idUKKBN0FM01320140717,not related to climate change,borderline (weakly related to climate change),disaster,natural hazards  [disaster],not applicable,not applicable,this is bad news,the magnitude of this event is high,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
News,New species found in Myanmar,05 June 2014,http://www.cbc.ca/news/technology/burma-s-new-species-showcased-by-world-wildlife-fund-1.2666073   http://www.usnews.com/news/science/news/articles/2014/06/05/dozens-of-new-flora-fauna-species-in-myanmar,not related to climate change,no (not related to climate change),ngos / groups of people,publication/studies/research  [ngos / groups of people],not applicable,not applicable,this is good news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
Twitter,World Environment Day 2014,05 June 2014,http://www.unep.org/wed/,related to climate change,yes (related to climate change),ngos / groups of people,generic (campaigns/statements/other)  [ngos / groups of people],not applicable,not applicable,this is neither good nor bad news,the magnitude of this event is moderate,a member of the public could have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an ordinary event
News,US eyes increase in Arctic operations,22 November 2013,http://www.3news.co.nz/world/us-military-pushing-to-arctic-in-oil-and-gas-hunt-2013112307#axzz3O8nLOqt0   http://news.yahoo.com/us-eyes-increase-arctic-operations-081424049--politics.html,weakly related to climate change,no (not related to climate change),not applicable,not applicable,not applicable,not applicable,this is neither good nor bad news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an ordinary event
News,Rim/Squelching Sierra Fires,29 August 2013,http://www.huffingtonpost.com/2013/08/28/rim-fire-smoke-yosemite_n_3828560.html   http://en.wikipedia.org/wiki/Rim_Fire   http://www.nbcnews.com/news/other/military-drone-drafted-tackle-massive-yosemite-wildfire-smoke-cancels-football-f8C11028823,not related to climate change,borderline (weakly related to climate change),disaster,natural hazards  [disaster],not applicable,not applicable,this is bad news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
News,Half of North America Birds at risk due to climate change,09 September 2014,http://climate.audubon.org/   http://www.huffingtonpost.com/2014/09/09/climate-change-birds_n_5788134.html,related to climate change,yes (related to climate change),ngos / groups of people,publication/studies/research  [ngos / groups of people],not applicable,not applicable,this is bad news,the magnitude of this event is high,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
News,St. Jude storm,28 October 2013,http://www.theguardian.com/uk-news/2013/oct/28/britain-storm-winds-death-flooding   http://www.cbsnews.com/news/hurricane-force-storm-batters-northern-europe/   http://en.wikipedia.org/wiki/St._Jude_storm,not related to climate change,borderline (weakly related to climate change),disaster,natural hazards  [disaster],not applicable,not applicable,this is bad news,the magnitude of this event is high,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
Twitter,Astrological prediction,11 April 2013,https://twitter.com/bestofcapricorn/status/495698347559485440,not related to climate change,no (not related to climate change),not applicable,not applicable,not applicable,not applicable,this is neither good nor bad news,the magnitude of this event is low,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an ordinary event
News,American Heartland Fish Products crap market test,14 August 2014,http://reviewtimes.com/business-news/2014/08/14/illinois-company-is-latest-to-test-market-for-carp/   http://www.cbc.ca/news/business/asian-carp-becomes-animal-feed-for-american-heartland-fish-products-1.2736645,not related to climate change,no (not related to climate change),for-profit (excl. media),generic (campaigns/statements/other)  [for-profit (excl. media)],not applicable,not applicable,this is neither good nor bad news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
News,"""The Critical Decade: Extreme Weather"" Report",03 April 2013,http://www.abc.net.au/news/2013-04-03/climate-change-prompts-calls-for-action/4608464?section=wa   http://www.nzweek.com/technology/australia-expects-to-have-more-extreme-weather-due-to-climate-change-report-57749/,related to climate change,yes (related to climate change),govt (exec & legislative),publication/studies/research  [govt (exec & legislative)],not applicable,not applicable,this is bad news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
News,Obama talks climate change/nuclear in Berlin,19 June 2013,http://www.whitehouse.gov/blog/2013/06/19/president-obama-speaks-people-berlin-brandenburg-gate   http://news.yahoo.com/obama-making-plans-tackle-global-warming-211211619.html   http://www.reuters.com/article/2013/06/19/us-obama-berlin-nuclear-idUSBRE95I06D20130619?feedType=RSS&feedName=topNews,related to climate change,yes (related to climate change),govt (exec & legislative),generic (campaigns/statements/other)  [govt (exec & legislative)],govt (exec & legislative),meetings/conferences  [govt (exec & legislative)],this is neither good nor bad news,the magnitude of this event is moderate,a member of the public could have know this will happen,"this involves someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
News,Earth Hour,31 March 2014,http://tcktcktck.org/2014/03/millions-turn-lights-2014-earth-hour/61233   http://news.nationalgeographic.com/news/2014/03/140330-earth-hour-2014-photographs-wwf-energy-consumption-climate-change-science/   http://www.earthhour.org/celebrating-earth-hour,related to climate change,yes (related to climate change),ngos / groups of people,generic (campaigns/statements/other)  [ngos / groups of people],not applicable,not applicable,this is good news,the magnitude of this event is moderate,a member of the public could have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an ordinary event
Twitter,EPA's proposal for Carbon Pollution Limits,06-10 February 2014,https://twitter.com/readytowin2016/status/464463644403572736   http://www.nrdc.org/media/2014/140206a.asp,weakly related to climate change,yes (related to climate change),govt (exec & legislative),legal actions  [govt (exec & legislative)],not applicable,not applicable,this is neither good nor bad news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
News,President Obama issues executive order on climate change,01 November 2013,http://yosemite.epa.gov/opa/admpress.nsf/d0cf6618525a9efb85257359003fb69d/869135c2b949560385257c16004d932f!opendocument   http://news.yahoo.com/obama-order-aims-prepare-communities-severe-weather-191009926.html   http://www.whitehouse.gov/the-press-office/2013/11/01/fact-sheet-executive-order-climate-preparedness   http://in.reuters.com/article/2013/11/01/obama-climate-idINL1N0IM1DA20131101,related to climate change,yes (related to climate change),govt (exec & legislative),legal actions  [govt (exec & legislative)],not applicable,not applicable,this is good news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this involves someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
News,Hurricane Arthur,03 July 2014,http://www.cbsnews.com/news/hurricane-arthur-strengthens-as-thousands-flee-north-carolina-coast/   http://en.wikipedia.org/wiki/Hurricane_Arthur_(2014)   http://www.independent.co.uk/news/world/americas/hurricane-arthur-state-of-emergency-declared-as-storm-threatens-to-hit-north-carolina-on-fourth-of-july-9582001.html,not related to climate change,borderline (weakly related to climate change),disaster,natural hazards  [disaster],not applicable,not applicable,this is bad news,the magnitude of this event is high,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
News,Shell to resume Arctic Oil Exploration,31 October 2013,http://www.theguardian.com/business/2013/oct/31/shell-alaska-arctic-offshore-drilling   http://www.reuters.com/article/2013/10/31/shell-results-brief-idUSL5N0IL1UE20131031,weakly related to climate change,no (not related to climate change),for-profit (excl. media),generic (campaigns/statements/other)  [for-profit (excl. media)],not applicable,not applicable,this is neither good nor bad news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an ordinary event
