Media,Event,Time Interval,Sample URLs,Relatedness (crowd),Relatedness (authors),Primary Type (or trigger),Primary Sub-type (or action),Secondary Type (or trigger),Secondary Sub-type (or action),Negativity,Magnitude,Predictability,Elite persons,Conflict,Unexpectedness
Twitter,James E. Hansen Retiring From NASA to Fight Global Warming,02 April 2013,http://www.nytimes.com/2013/04/02/science/james-e-hansen-retiring-from-nasa-to-fight-global-warming.html?partner=rss&emc=rss#.UVoojtdOnRc.twitter   http://news.yahoo.com/nasa-climate-scientist-james-hansen-quits-fight-global-163758533.html   http://www.giss.nasa.gov/research/news/20130402/,related to climate change,yes (related to climate change),individuals,generic (campaigns/statements/other)  [individuals],not applicable,not applicable,this is neither good nor bad news,the magnitude of this event is low,a member of the public could not have know this will happen,"this involves someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
News,2013 New Zeeland Drought,25 July 2013,http://www.3news.co.nz/nznews/study-2013-drought-worst-in-70-years-2013072605#axzz3OWQ5g0hK   http://www.weatherwatch.co.nz/content/2013-drought-was-worst-1945-study   http://www.mpi.govt.nz/Default.aspx?TabId=126&id=1899,related to climate change,yes (related to climate change),disaster,natural hazards  [disaster],not applicable,not applicable,this is bad news,the magnitude of this event is high,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
News,Study: Species disappearing far faster than before,29 May 2014,http://news.yahoo.com/study-species-disappearing-far-faster-180111653.html   http://www.denverpost.com/nationworld/ci_25858471/study-species-disappearing-far-faster-than-before,related to climate change,borderline (weakly related to climate change),ngos / groups of people,publication/studies/research  [ngos / groups of people],not applicable,not applicable,this is bad news,the magnitude of this event is high,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
Twitter,"Viral tweet: ""Deep breathing benefits: only if CO2 gets higher""",15 May 2013,https://twitter.com/normalbreathing/status/334388315191140353   http://www.normalbreathing.com/CO2-deep-breathing-myth.php,not related to climate change,no (not related to climate change),individuals,generic (campaigns/statements/other)  [individuals],not applicable,not applicable,this is neither good nor bad news,the magnitude of this event is low,a member of the public could have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an ordinary event
Twitter,Supreme Court limits EPA global warming rules,23 June 2014,http://seattletimes.com/html/nationworld/2023909812_apxsupremecourtgreenhousegases.html   http://www.huffingtonpost.com/2014/06/23/supreme-court-global-warming_n_5521744.html,related to climate change,yes (related to climate change),govt (exec & legislative),legal actions  [govt (exec & legislative)],not applicable,not applicable,this is neither good nor bad news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
Twitter,States Against EPA Rule on Carbon Pollution Would Gain,24-29 July 2014,http://www.nytimes.com/2014/07/24/us/states-against-epa-rule-on-carbon-pollution-would-gain-study-finds.html?partner=rss&emc=rss&_r=0,weakly related to climate change,yes (related to climate change),ngos / groups of people,publication/studies/research  [ngos / groups of people],govt (exec & legislative),legal actions  [govt (exec & legislative)],this is neither good nor bad news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this depicts a conflict between two opposing persons/groups,this is an extraordinary event
Twitter,President Obama Speech on Climate Change at Georgetown,25 June 2013,http://www.whitehouse.gov/the-press-office/2013/06/25/remarks-president-climate-change   http://www.actonclimate.com/page/about/   http://news.yahoo.com/power-plant-limits-center-obama-climate-plan-100209230.html?utm_source=twitterfeed&utm_medium=twitter,related to climate change,yes (related to climate change),govt (exec & legislative),generic (campaigns/statements/other)  [govt (exec & legislative)],ngos / groups of people,generic (campaigns/statements/other)  [ngos / groups of people],this is neither good nor bad news,the magnitude of this event is moderate,a member of the public could have know this will happen,"this involves someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
News,Study: Climate Change link to violence,01 August 2013,http://news.nationalgeographic.com/news/2013/08/130801-global-warming-violence-climate-change-science-environment/   http://edition.cnn.com/2013/08/01/us/climate-change-violence/index.html,related to climate change,yes (related to climate change),ngos / groups of people,publication/studies/research  [ngos / groups of people],not applicable,not applicable,this is bad news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
News,Associated Press publishes photos targeting US coal exports,28 July 2014,http://www.huffingtonpost.com/2014/07/28/export-pollution-dirty-coal_n_5626093.html   http://news.yahoo.com/ap-photos-coal-exporting-town-fights-rising-seas-090234839.html,weakly related to climate change,yes (related to climate change),media,publication/studies/research  [media],for-profit (excl. media),generic (campaigns/statements/other)  [for-profit (excl. media)],this is bad news,the magnitude of this event is low,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this depicts a conflict between two opposing persons/groups,this is an extraordinary event
News,Activists targeting Canada's Harper arrested in UK,13 June 2013,http://www.theguardian.com/environment/2013/jun/13/tar-sands-activists-commons-protest-canada   http://seattletimes.com/html/nationworld/2021180257_apeubritaincanadaharper.html,not related to climate change,yes (related to climate change),ngos / groups of people,generic (campaigns/statements/other)  [ngos / groups of people],govt (exec & legislative),legal actions  [govt (exec & legislative)],this is good news,the magnitude of this event is low,a member of the public could not have know this will happen,"this involves someone rich, powerful, or famous",this depicts a conflict between two opposing persons/groups,this is an extraordinary event
Twitter,9GAG Viral Joke,02 June-21 April 2014,https://twitter.com/9gag/status/458198488288100352   https://twitter.com/9gag/status/495252952303828992,not related to climate change,no (not related to climate change),not applicable,not applicable,not applicable,not applicable,this is neither good nor bad news,the magnitude of this event is low,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an ordinary event
Twitter,Grand Canyon' of Greenland Discovered Under Ice Sheet,30 August 2013,http://edition.cnn.com/2013/08/29/world/europe/greenland-megacanyon/index.html?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+rss%2Fcnn_topstories+%28RSS%3A+Top+Stories%29   http://www.huffingtonpost.com/2013/08/29/giant-canyon-under-greenland-ice-sheet_n_3838119.html?ncid=edlinkusaolp00000003,weakly related to climate change,yes (related to climate change),ngos / groups of people,publication/studies/research  [ngos / groups of people],not applicable,not applicable,this is neither good nor bad news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
News,National Drought Resilience Partnership,15 November 2013,http://www.noaanews.noaa.gov/stories2013/20131115_drought_resilience.html   http://news.yahoo.com/program-designed-help-prepare-droughts-050805697.html,weakly related to climate change,yes (related to climate change),govt (exec & legislative),legal actions  [govt (exec & legislative)],disaster,natural hazards  [disaster],this is neither good nor bad news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
Twitter,Report:  Risky Business: The Economic Risks of Climate Change in the United States,24 June 2014,http://riskybusiness.org/blog/risky-business-report-press-release   http://riskybusiness.org/report/overview/executive-summary,related to climate change,yes (related to climate change),ngos / groups of people,publication/studies/research  [ngos / groups of people],for-profit (excl. media),generic (campaigns/statements/other)  [for-profit (excl. media)],this is bad news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
Twitter,Air pollution from coal-burning shortens lives in China,09 July 2013,http://news.nationalgeographic.com/news/energy/2013/07/130708-coal-burning-shortens-lives-in-china/?utm_source=Twitter&utm_medium=Social&utm_content=link_tw20130709news-chincoal&utm_campaign=Content   http://www.bbc.com/news/world-asia-china-23236532#TWEET815255,weakly related to climate change,yes (related to climate change),ngos / groups of people,publication/studies/research  [ngos / groups of people],not applicable,not applicable,this is bad news,the magnitude of this event is high,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
Twitter,"""Climate Change: Evidence & Causes"" publication",27 February 2014,https://royalsociety.org/policy/projects/climate-evidence-causes/?utm_source=social_media&utm_medium=hootsuite&utm_campaign=standard   http://www.nbcnews.com/science/environment/scientists-more-certain-ever-climate-change-report-says-n39661,related to climate change,yes (related to climate change),ngos / groups of people,publication/studies/research  [ngos / groups of people],not applicable,not applicable,this is neither good nor bad news,the magnitude of this event is moderate,a member of the public could have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an ordinary event
News,2013 Earth Day/Week,22 April 2013,http://en.wikipedia.org/wiki/Earth_Day   http://news.nationalgeographic.com/news/2013/04/130422-earth-day-facts-2013-environment/   http://www.huffingtonpost.com/susan-blumenthal/earth-day_b_3132233.html   http://www.earthweek.com,weakly related to climate change,yes (related to climate change),ngos / groups of people,generic (campaigns/statements/other)  [ngos / groups of people],not applicable,not applicable,this is good news,the magnitude of this event is moderate,a member of the public could have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an ordinary event
Twitter,Study: Air Pollution Linked to 1.2 Million Deaths in China,02 April 2013,http://www.fastcompany.com/3007720/fast-feed/report-air-pollution-implicated-12-million-chinese-deaths-2010?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+fastcompany%2Fheadlines+%28Fast+Company%29   http://www.nytimes.com/2013/04/02/world/asia/air-pollution-linked-to-1-2-million-deaths-in-china.html?smid=tw-nytimesscience&seid=auto&_r=0,not related to climate change,no (not related to climate change),ngos / groups of people,publication/studies/research  [ngos / groups of people],not applicable,not applicable,this is bad news,the magnitude of this event is high,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
News,WMO: CO2 rises at fastest rate since 1984,09 September 2014,http://www.wmo.int/pages/mediacentre/press_releases/pr_1002_en.html   http://www.theguardian.com/environment/2014/sep/09/carbon-dioxide-emissions-greenhouse-gases   http://www.huffingtonpost.com/2014/09/09/greenhouse-gas-levels_n_5788788.html,related to climate change,yes (related to climate change),govt (exec & legislative),publication/studies/research  [govt (exec & legislative)],not applicable,not applicable,this is bad news,the magnitude of this event is high,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
Twitter,Climate Change Commission axed in Australia,19 September 2013,http://www.theaustralian.com.au/national-affairs/climate/the-winds-of-political-change-blow-away-climate-bureaucracy/story-e6frg6xf-1226723161774   http://www.businessinsider.com/australias-new-conservative-prime-minister-abolishes-climate-change-watchdog-2013-9?IR=T,related to climate change,yes (related to climate change),govt (exec & legislative),legal actions  [govt (exec & legislative)],not applicable,not applicable,this is neither good nor bad news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this depicts a conflict between two opposing persons/groups,this is an extraordinary event
Twitter,Statement on EPA and Nixon,05 August 2014,https://twitter.com/stephenathome/status/496502128069058560,not related to climate change,no (not related to climate change),govt (exec & legislative),generic (campaigns/statements/other)  [govt (exec & legislative)],individuals,generic (campaigns/statements/other)  [individuals],this is neither good nor bad news,the magnitude of this event is low,a member of the public could not have know this will happen,"this involves someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an ordinary event
News,Sydney Bushfires,10 September 2013,http://www.independent.co.uk/news/world/australasia/australian-firefighters-struggle-to-cope-as-60-bushfires-blaze-across-new-south-wales-8806923.html   http://www.abc.net.au/news/2013-09-10/live-coverage-bushfire-emergency-sydney/4948788,related to climate change,yes (related to climate change),disaster,natural hazards  [disaster],not applicable,not applicable,this is bad news,the magnitude of this event is high,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
Twitter,Antarctic glaciers melting alarmingly,12-19 May 2014,http://www.bbc.com/news/science-environment-27381010   https://www.youtube.com/watch?v=W2pYHMx5bN8,weakly related to climate change,yes (related to climate change),govt (exec & legislative),publication/studies/research  [govt (exec & legislative)],not applicable,not applicable,this is bad news,the magnitude of this event is high,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
News,Dog dies of poison,19 February 2014,http://www.ktvl.com/template/cgi-bin/archived.pl?type=basic&file=/shared/news/top-stories/stories/archive/2014/02/JUQS7aMh.xml   http://www.utsandiego.com/news/2014/feb/19/california-dog-dies-of-poison-owner-researched/,not related to climate change,no (not related to climate change),not applicable,not applicable,not applicable,not applicable,this is bad news,the magnitude of this event is low,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an ordinary event
Twitter,Peoples Climate March in NYC,21-22 September 2014,http://en.wikipedia.org/wiki/People's_Climate_March   http://mashable.com/2014/09/21/peoples-climate-march-live-blog/   http://www.theguardian.com/environment/live/2014/sep/21/peoples-climate-march-live   http://mediamatters.org/blog/2014/09/21/sunday-news-shows-ignore-historic-climate-march/200839,weakly related to climate change,yes (related to climate change),ngos / groups of people,generic (campaigns/statements/other)  [ngos / groups of people],not applicable,not applicable,this is neither good nor bad news,the magnitude of this event is moderate,a member of the public could have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
Twitter,"November 17, 2013 tornado outbreak",17-18 November 2013,"https://twitter.com/ddlovato/status/402219215760805888/photo/1   http://en.wikipedia.org/wiki/November_17,_2013_tornado_outbreak   http://twitchy.com/2013/11/18/columbia-prof-jeffrey-sachs-joins-list-of-those-blaming-global-warming-for-not-unprecedented-tornadoes/",related to climate change,yes (related to climate change),disaster,natural hazards  [disaster],not applicable,not applicable,this is bad news,the magnitude of this event is high,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
Twitter,Ad on Global Warming (viral tweet),14 August 2013,https://twitter.com/Brilliant_Ads/status/367360454961549312/photo/1,related to climate change,yes (related to climate change),individuals,generic (campaigns/statements/other)  [individuals],not applicable,not applicable,this is neither good nor bad news,the magnitude of this event is moderate,a member of the public could have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
Twitter,Rich vs. Poor divide deepens/Massive walk out at UN Climate Change Conference,21 November 2013,http://www.nbcnews.com/business/business-news/rich-vs-poor-divide-deepens-over-who-should-pay-climate-f2D11624117   http://www.reuters.com/article/2013/11/23/climate-talks-idUSL5N0J80D620131123   http://www.huffingtonpost.com/2013/11/20/un-climate-change-talks-turmoil_n_4308623.html?utm_hp_ref=tw,related to climate change,yes (related to climate change),govt (exec & legislative),meetings/conferences  [govt (exec & legislative)],not applicable,not applicable,this is bad news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this depicts a conflict between two opposing persons/groups,this is an extraordinary event
Twitter,Story: How One Instagram Hashtag Fights Pollution,07 June 2013,https://twitter.com/mashable/status/342959582013968384   http://mashable.com/2013/06/07/litterati/,not related to climate change,no (not related to climate change),ngos / groups of people,generic (campaigns/statements/other)  [ngos / groups of people],not applicable,not applicable,this is good news,the magnitude of this event is low,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an ordinary event
News,Freshwater reserves found under ocean floor,05 December 2013,http://www.globalpost.com/dispatch/news/afp/131204/scientists-discover-vast-undersea-freshwater-reserves   http://www.businessinsider.com.au/scientists-discovered-massive-freshwater-reserves-underneath-the-ocean-floor-2013-12,not related to climate change,borderline (weakly related to climate change),ngos / groups of people,publication/studies/research  [ngos / groups of people],not applicable,not applicable,this is good news,the magnitude of this event is high,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
Twitter,EPA chief to deliver first speech at Harvard,30 July 2013,http://www.washingtonpost.com/blogs/post-politics/wp/2013/07/30/new-epa-head-mccarthy-outlines-ambitious-agenda-in-harvard-speech/?wprss=rss_election-2012   http://www.huffingtonpost.com/2013/07/30/gina-mccarthy-climate-change_n_3677861.html,related to climate change,yes (related to climate change),govt (exec & legislative),generic (campaigns/statements/other)  [govt (exec & legislative)],not applicable,not applicable,this is neither good nor bad news,the magnitude of this event is low,a member of the public could have know this will happen,"this involves someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
Twitter,"Viral article ""Life Confirmed Under Antarctic Ice""",27 August 2014,http://www.forbes.com/sites/ericmack/2014/08/20/life-confirmed-under-antarctic-ice-is-space-next/,related to climate change,no (not related to climate change),ngos / groups of people,publication/studies/research  [ngos / groups of people],not applicable,not applicable,this is good news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
Twitter,2014 Earth Day/Week,22 April 2014,http://www.teaparty.org/obama-will-burn-35000-gallons-fuel-earth-day-375-tons-carbon-dioxide-40179/   http://en.wikipedia.org/wiki/Earth_Day,related to climate change,yes (related to climate change),ngos / groups of people,generic (campaigns/statements/other)  [ngos / groups of people],not applicable,not applicable,this is neither good nor bad news,the magnitude of this event is moderate,a member of the public could have know this will happen,"this involves someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an ordinary event
Twitter,Twitter user self-promotion,15 June 2014,https://twitter.com/geoff_deweaver/status/477971304608317441,not related to climate change,no (not related to climate change),not applicable,not applicable,not applicable,not applicable,this is neither good nor bad news,the magnitude of this event is low,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an ordinary event
News,Alaska weather extremes tied to changes in jet stream,25 June 2013,http://news.yahoo.com/94-alaska-weather-extremes-tied-jet-stream-070623134.html   http://www.huffingtonpost.com/2013/06/25/alaska-summer-weather-2013_n_3495850.html,weakly related to climate change,yes (related to climate change),ngos / groups of people,publication/studies/research  [ngos / groups of people],not applicable,not applicable,this is bad news,the magnitude of this event is high,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
Twitter,UK floods/North European Storms,13 February 2014,http://www.newscientist.com/article/dn25061-will-record-floods-finally-shift-uk-climate-debate.html#.VLRAL1prnds   http://www.theguardian.com/environment/2014/feb/13/flooding-storms-uk-climate-change-lord-stern   http://en.wikipedia.org/wiki/Draft:2013訽阓陳2014_Atlantic_winter_storms_in_Europe,related to climate change,yes (related to climate change),disaster,natural hazards  [disaster],not applicable,not applicable,this is bad news,the magnitude of this event is high,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
News,Clean Power Plan Proposed Rule (Obama/EPA),02 June 2014,http://www.csmonitor.com/USA/DC-Decoder/2014/0602/Major-EPA-carbon-emissions-cuts-How-they-could-affect-the-economy-video   http://www.theguardian.com/environment/2014/jun/02/barack-obama-carbon-cuts-plan-us   http://www2.epa.gov/carbon-pollution-standards/clean-power-plan-proposed-rule,related to climate change,yes (related to climate change),govt (exec & legislative),legal actions  [govt (exec & legislative)],not applicable,not applicable,this is good news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this involves someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
News,Study of bigfoot hair samples,02 July 2014,http://www.csmonitor.com/Science/2014/0702/How-genetic-sequencing-is-stomping-on-the-Bigfoot-myth   http://www.businessweek.com/ap/2014-07-02/bigfoot-hair-samples-mostly-from-bears-wolves,not related to climate change,no (not related to climate change),not applicable,not applicable,not applicable,not applicable,this is neither good nor bad news,the magnitude of this event is low,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
News,Obama's Climate protection fund for California,14 February 2014,http://www.globalpost.com/dispatch/news/afp/140214/obama-proposes-1-billion-climate-protection-fund   http://www.csmonitor.com/USA/Politics/2014/0214/Obama-in-California-a-pledge-of-drought-aid-climate-change-planning,related to climate change,yes (related to climate change),govt (exec & legislative),legal actions  [govt (exec & legislative)],not applicable,not applicable,this is good news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this involves someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
News,List of 2013 Genius Grant recipients,25 September 2013,http://www.macfound.org/fellows/class/2013/   http://www.theguardian.com/world/2013/sep/25/macarthur-foundation-genius-grants-winners   http://news.yahoo.com/list-2013-genius-grant-recipients-040656291.html,not related to climate change,no (not related to climate change),ngos / groups of people,generic (campaigns/statements/other)  [ngos / groups of people],not applicable,not applicable,this is neither good nor bad news,the magnitude of this event is low,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an ordinary event
Twitter,UK's Committee on Climate Change advise to stick with current carbon budgets,11 December 2013,http://www.theguardian.com/environment/2013/dec/11/uk-carbon-budget-emissions?CMP=twt_fd   https://twitter.com/craigvjones/status/410674774587633664/photo/1   https://storify.com/GSmeeton/fourth-carbon-budget-review?utm_campaign=&utm_medium=sfy.co-twitter&utm_source=t.co&utm_content=storify-pingback&awesm=sfy.co_rKpU,weakly related to climate change,yes (related to climate change),govt (exec & legislative),generic (campaigns/statements/other)  [govt (exec & legislative)],not applicable,not applicable,this is neither good nor bad news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
Twitter,Gina McCarthy's EPA nomination,11 April 2013,http://www.nationaljournal.com/daily/republicans-to-begin-new-assault-on-obama-s-climate-plans-at-hearing-for-epa-nominee-20130410   http://sunlightfoundation.com/blog/2009/04/24/epa-administrator-promises-transparency-engagement/   http://thinkprogress.org/climate/2013/04/11/1844401/april-11-news-epa-nominee-gina-mccarthy-hearing-day-opposition-is-muted/,weakly related to climate change,yes (related to climate change),govt (exec & legislative),legal actions  [govt (exec & legislative)],not applicable,not applicable,this is neither good nor bad news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
News,Ecologists buy Texas bayside ranch with BP spill restoration fund,21 August 2014,http://thinkprogress.org/climate/2014/08/22/3474439/conservation-land-texas-bp/   http://www.utsandiego.com/news/2014/aug/21/ecologists-team-up-to-buy-texas-bayside-ranch/,weakly related to climate change,yes (related to climate change),ngos / groups of people,generic (campaigns/statements/other)  [ngos / groups of people],disaster,human-induced hazards  [disaster],this is good news,the magnitude of this event is low,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
News,Report: Climate Change Impact in California,08 August 2013,http://www.huffingtonpost.com/2013/08/08/california-climate-change_n_3725271.html   http://www.businessweek.com/ap/2013-08-08/report-climate-change-is-impacting-california,related to climate change,yes (related to climate change),ngos / groups of people,publication/studies/research  [ngos / groups of people],not applicable,not applicable,this is bad news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
Twitter,Coal Miner's Slaughter: Thousands Protest War On Coal,31 October 2013,http://news.investors.com/ibd-editorials/103013-677276-thousands-protest-epa-war-on-coal.htm,weakly related to climate change,yes (related to climate change),ngos / groups of people,generic (campaigns/statements/other)  [ngos / groups of people],govt (exec & legislative),legal actions  [govt (exec & legislative)],this is neither good nor bad news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this depicts a conflict between two opposing persons/groups,this is an extraordinary event
Twitter,Beijing/China toxic air pollution,27 February 2014,http://blogs.wsj.com/chinarealtime/2014/02/26/beijing-pollution-how-bad-does-it-have-to-get-for-a-red-alert/?mod=e2tw   http://www.theguardian.com/world/2014/feb/25/china-toxic-air-pollution-nuclear-winter-scientists,not related to climate change,borderline (weakly related to climate change),disaster,human-induced hazards  [disaster],not applicable,not applicable,this is bad news,the magnitude of this event is high,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
Twitter,"""The Critical Decade: Extreme Weather"" Report",02-03 April 2013,http://www.theguardian.com/world/2013/apr/02/climate-change-carbon-emissions-australia   http://thinkprogress.org/climate/2013/04/03/1816851/the-critical-decade-report-links-australias-extreme-weather-to-climate-change/,related to climate change,yes (related to climate change),govt (exec & legislative),publication/studies/research  [govt (exec & legislative)],not applicable,not applicable,this is bad news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
News,UK floods/North European Storms,12 February 2014,http://www.livescience.com/43307-uk-floods-climate-change.html   http://en.wikipedia.org/wiki/Draft:2013阓阓瓯2014_Atlantic_winter_storms_in_Europe   https://sg.news.yahoo.com/storm-106-mph-gusts-hits-flooded-britain-200250564.html,related to climate change,yes (related to climate change),disaster,natural hazards  [disaster],not applicable,not applicable,this is bad news,the magnitude of this event is high,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
Twitter,Statement making a paralel between black kid being shot by a cop and climate change,14 August 2014,https://twitter.com/theeyeofcontrol/status/499847666239807488,weakly related to climate change,yes (related to climate change),individuals,generic (campaigns/statements/other)  [individuals],not applicable,not applicable,this is neither good nor bad news,the magnitude of this event is low,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an ordinary event
News,Protests about EPA Clean Air Rules,29-30 July 2014,http://news.yahoo.com/clean-air-rules-assailed-too-much-too-little-174654854.html   http://www.huffingtonpost.com/2014/07/29/epa-clean-air-rules_n_5629835.html,weakly related to climate change,yes (related to climate change),ngos / groups of people,generic (campaigns/statements/other)  [ngos / groups of people],govt (exec & legislative),legal actions  [govt (exec & legislative)],this is neither good nor bad news,the magnitude of this event is low,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this depicts a conflict between two opposing persons/groups,this is an extraordinary event
News,Greenpeace targets procter & gamble in Ohio,06 March 2014,http://news.yahoo.com/p-g-says-ohio-hq-security-tightened-protest-154303588.html   http://greenpeaceblogs.org/2014/03/06/why-pg-does-not-share-our-concerns/,not related to climate change,no (not related to climate change),ngos / groups of people,generic (campaigns/statements/other)  [ngos / groups of people],for-profit (excl. media),generic (campaigns/statements/other)  [for-profit (excl. media)],this is neither good nor bad news,the magnitude of this event is low,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this depicts a conflict between two opposing persons/groups,this is an ordinary event
News,Study Links 2012 Weather to Climate Change,05-06 September 2013,http://www.theguardian.com/environment/2013/sep/05/climate-change-partially-caused-extreme-weather-2012   http://cnsnews.com/news/article/study-links-warming-some-2012-wild-weather,related to climate change,yes (related to climate change),govt (exec & legislative),publication/studies/research  [govt (exec & legislative)],not applicable,not applicable,this is bad news,the magnitude of this event is high,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
Twitter,Obama Orders New Efficiency for Big Trucks,18 February 2014,http://www.nytimes.com/2014/02/19/us/politics/obama-to-request-new-rules-for-cutting-truck-pollution.html   http://www.salon.com/2014/02/18/obama_to_take_on_truck_pollution_with_new_fuel_efficiency_standards/,weakly related to climate change,yes (related to climate change),govt (exec & legislative),legal actions  [govt (exec & legislative)],not applicable,not applicable,this is good news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this involves someone rich, powerful, or famous",this depicts a conflict between two opposing persons/groups,this is an ordinary event
